005518.75+262234.4 1.98175  13458 6.81568   116511.0  DR14 -28.1618 0.0255 -32.0851  0.1329 0.1244 2.14252   0.28413  0.30973 -32.6317    45.25    25.095  6.11542  3.7449  
005518.75+262234.4 1.98175   3233 6.37746    49710.5  DR14 -28.1618 0.0255 -32.0039  0.1313 0.1204 2.58362   0.37858  0.47356 -32.7479    32.368    9.648  5.42245  2.54672 
005520.43+262842.3 1.57244  15581 9.20056    29688.4  DR14 -27.9225 0.0125 -31.7771  0.1586 0.1464 1.72795   0.3265   0.37225 -32.0357    24.435   22.988  4.4939   4.00097 
005520.43+262842.3 1.57244   3233 6.86822    49716.7  DR14 -27.9225 0.0125 -31.7638  0.0715 0.0674 1.88697   0.18662  0.19986 -32.7402    81.34    29.634  8.84026  4.91408 
005555.40+261518.2 2.11322  13458 7.60078   116508.0  DR14 -28.073  0.0306 -31.8576  0.0854 0.0826 1.94135   0.17699  0.195   -32.6759   107.586   51.332  8.77226  4.83602 
005555.40+261518.2 2.11322  13459 7.03275    98769.7  DR14 -28.073  0.0306 -31.9004  0.0831 0.0794 1.63509   0.15646  0.16523 -32.6485   103.32    65.25   8.83755  6.257   
005555.40+261518.2 2.11322  15578 7.59344    66860.9  DR14 -28.073  0.0306 -31.9985  0.1376 0.13   1.78105   0.27158  0.30104 -32.458     51.776   27.876  5.93038  3.48113 
005555.40+261518.2 2.11322  15581 7.0321     29685.3  DR14 -28.073  0.0306 -31.8906  0.1602 0.1457 1.72843   0.30587  0.3265  -32.2771    29.138   16.445  4.67409  3.02495 
005606.43-011958.4 0.840406  4180 6.23575    11931.8  DR14 -27.8827 0.0161 -31.0074  0.0446 0.0419 2.04351   0.17102  0.18398 -31.8755   104.749   35.91   9.84303  5.67149 
005606.43-011958.4 0.840406  7918 6.23077    45038.7  DR14 -27.8827 0.0161 -31.4589  0.0424 0.0399 1.49185   0.1234   0.12566 -32.2649   134.398   85.344 10.5075   8.26381 
005626.55-011728.3 2.05718   4180 3.72814    11934.9  DR14 -28.1123 0.0201 -31.8157  0.2183 0.1674 2.42346   0.60272  0.58916 -32.2316    13.77     7.296  3.41802  2.47301 
005626.55-011728.3 2.05718   7918 3.8035     45044.9  DR14 -28.1123 0.0201 -32.01    0.1163 0.106  1.79585   0.23963  0.25272 -32.6018    45.7     17.92   6.20178  3.81363 
005633.18+022637.6 0.87      4831 9.95804     5882.95 DR12 -27.9666 0.0164 -31.5738  0.1548 0.1137 3.00496   0.55368  0.89239 -31.6569    17.67     3.335  3.91893  1.2918  
005723.25-012525.4 2.35     12721 3.38636     7945.51 DR12 -27.6625 0.0146 -31.9497  0.143  0.2279 2.13766   0.61039  0.76982 -32.4057     9.87     5.832  3.10108  2.34826 
005736.44+302355.7 1.762     4156 4.43626    55013.3  DR12 -28.2272 0.0291 -31.6101  0.0398 0.0384 1.87165   0.10689  0.11105 -33.1231   214.272   57.171 14.5214   7.33028 
005751.28-012635.3 1.12453  12721 5.44307     7945.51 DR14 -28.1103 0.0182 -31.8405  0.1299 0.1176 1.90309   0.44046  0.52906 -32.0697    16.626    6.286  3.98876  2.26326 
